model_name,km_driven,fuel_type,transmission,owner,engine_capacity,price,link
2014 Hyundai Grand i10,44.64k km,Petrol,Manual,1st,1197cc,₹4.20 lakh,https://www.cars24.com/buy-used-hyundai-grand-i10-2014-cars-bangalore-10201405794/
2018 Maruti Ciaz,72.31k km,Diesel,Manual,1st,1248cc,₹4.71 lakh,https://www.cars24.com/buy-used-maruti-ciaz-2018-cars-bangalore-10200204713/
2011 Mercedes Benz C Class,71.97k km,Petrol,,3rd,1796cc,₹5.00 lakh,https://www.cars24.com/buy-used-mercedes-benz-c-class-2011-cars-bangalore-10265900711/
2014 Hyundai Verna,99.49k km,Diesel,Manual,1st,1582cc,₹4.80 lakh,https://www.cars24.com/buy-used-hyundai-verna-2014-cars-bangalore-10254203791/
2012 Volkswagen Polo,82.28k km,Diesel,Manual,3rd,1199cc,₹2.68 lakh,https://www.cars24.com/buy-used-volkswagen-polo-2012-cars-bangalore-10251342745/
2016 Tata Bolt,36.53k km,Petrol,Manual,2nd,1193cc,₹3.00 lakh,https://www.cars24.com/buy-used-tata-bolt-2016-cars-bangalore-10239646702/
2012 Honda Brio,72.78k km,Petrol,Manual,3rd,1198cc,₹2.50 lakh,https://www.cars24.com/buy-used-honda-brio-2012-cars-bangalore-10218707773/
2016 Ford New Figo,1.2L km,Diesel,Manual,2nd,1498cc,₹3.29 lakh,https://www.cars24.com/buy-used-ford-new-figo-2016-cars-bangalore-10203501710/
2022 Nissan MAGNITE,26.08k km,Petrol,,1st,999cc,₹9.58 lakh,https://www.cars24.com/buy-used-nissan-magnite-2022-cars-bangalore-10291843707/
2023 Hyundai NEW I20,39.13k km,Petrol,Manual,1st,1197cc,₹7.58 lakh,https://www.cars24.com/buy-used-hyundai-new-i20-2023-cars-bangalore-10281844762/
2013 Jaguar XF,82.12k km,Diesel,,2nd,2179cc,₹14.04 lakh,https://www.cars24.com/buy-used-jaguar-xf-2013-cars-bangalore-10265448760/
2014 Maruti Celerio,47.85k km,Petrol,Manual,2nd,998cc,₹2.79 lakh,https://www.cars24.com/buy-used-maruti-celerio-2014-cars-bangalore-10259346727/
2017 Hyundai Elite i20,53.97k km,Petrol,Manual,2nd,1197cc,₹5.00 lakh,https://www.cars24.com/buy-used-hyundai-elite-i20-2017-cars-bangalore-10207348704/
2020 Hyundai VENUE,50.83k km,Petrol,Manual,1st,1197cc,₹6.82 lakh,https://www.cars24.com/buy-used-hyundai-venue-2020-cars-bangalore-10202742725/
2016 Honda City,49.00k km,Petrol,Manual,3rd,1497cc,₹4.92 lakh,https://www.cars24.com/buy-used-honda-city-2016-cars-bangalore-10296443749/
2017 Skoda Rapid,60.65k km,Diesel,,1st,1498cc,₹7.80 lakh,https://www.cars24.com/buy-used-skoda-rapid-2017-cars-bangalore-10227141701/
2011 Maruti Ritz,61.61k km,Petrol,Manual,3rd,1197cc,₹1.76 lakh,https://www.cars24.com/buy-used-maruti-ritz-2011-cars-bangalore-10264509776/
2010 Hyundai i10,17.04k km,Petrol,,1st,1197cc,₹2.29 lakh,https://www.cars24.com/buy-used-hyundai-i10-2010-cars-bangalore-10255641735/
2012 Maruti Ritz,37.37k km,Diesel,Manual,1st,1248cc,₹3.58 lakh,https://www.cars24.com/buy-used-maruti-ritz-2012-cars-bangalore-10240848703/
2010 Hyundai i10,67.27k km,Petrol,Manual,2nd,,₹2.50 lakh,https://www.cars24.com/buy-used-hyundai-i10-2010-cars-bangalore-10212200772/
2013 Honda Brio,1.1L km,Petrol,Manual,3rd,1198cc,₹2.20 lakh,https://www.cars24.com/buy-used-honda-brio-2013-cars-bangalore-10271905779/
2022 Tata ALTROZ,54.46k km,Diesel,Manual,1st,1497cc,₹6.85 lakh,https://www.cars24.com/buy-used-tata-altroz-2022-cars-bangalore-10296503716/
2019 Volkswagen Polo,57.30k km,Petrol,Manual,1st,999cc,₹6.12 lakh,https://www.cars24.com/buy-used-volkswagen-polo-2019-cars-bangalore-10282609711/
2013 Maruti Wagon R 1.0,34.32k km,Petrol,Manual,2nd,998cc,₹3.00 lakh,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2013-cars-bangalore-10253805799/
2012 Maruti Wagon R 1.0,94.70k km,Petrol,Manual,2nd,998cc,₹2.50 lakh,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2012-cars-bangalore-10274709790/
2012 Mahindra XUV500,81.69k km,Diesel,Manual,4th,2179cc,₹4.00 lakh,https://www.cars24.com/buy-used-mahindra-xuv500-2012-cars-bangalore-10253404774/
2020 Renault TRIBER,90.17k km,Petrol,Manual,1st,999cc,₹4.64 lakh,https://www.cars24.com/buy-used-renault-triber-2020-cars-bangalore-10212240767/
2019 Maruti Celerio,54.09k km,Petrol,Manual,3rd,998cc,₹4.04 lakh,https://www.cars24.com/buy-used-maruti-celerio-2019-cars-bangalore-10210341769/
2011 Maruti Ritz,1.2L km,Petrol,Manual,1st,1197cc,₹2.50 lakh,https://www.cars24.com/buy-used-maruti-ritz-2011-cars-bangalore-10295701710/
2019 Tata Tiago,47.03k km,Petrol,,1st,1199cc,₹5.50 lakh,https://www.cars24.com/buy-used-tata-tiago-2019-cars-bangalore-10266309773/
2018 Tata Tiago,72.10k km,Diesel,Manual,1st,1047cc,₹4.45 lakh,https://www.cars24.com/buy-used-tata-tiago-2018-cars-bangalore-10217622727/
2011 Volkswagen Vento,99.67k km,Petrol,Manual,2nd,1598cc,₹2.53 lakh,https://www.cars24.com/buy-used-volkswagen-vento-2011-cars-bangalore-10297102710/
2011 Skoda Fabia,83.50k km,Petrol,Manual,4th,1198cc,₹1.60 lakh,https://www.cars24.com/buy-used-skoda-fabia-2011-cars-bangalore-10220243705/
2013 Hyundai Grand i10,37.53k km,Petrol,Manual,1st,1197cc,₹5.14 lakh,https://www.cars24.com/buy-used-hyundai-grand-i10-2013-cars-bangalore-10216705719/
2016 Hyundai Creta,76.51k km,Petrol,Manual,2nd,1591cc,₹6.35 lakh,https://www.cars24.com/buy-used-hyundai-creta-2016-cars-bangalore-10286247757/
2013 Hyundai i20,37.74k km,Petrol,Manual,2nd,1197cc,₹3.51 lakh,https://www.cars24.com/buy-used-hyundai-i20-2013-cars-bangalore-10233401718/
2015 Hyundai Grand i10,1.2L km,Petrol,Manual,3rd,1197cc,₹3.04 lakh,https://www.cars24.com/buy-used-hyundai-grand-i10-2015-cars-bangalore-10273906719/
2015 Hyundai Grand i10,45.89k km,Petrol,Manual,2nd,1197cc,₹3.92 lakh,https://www.cars24.com/buy-used-hyundai-grand-i10-2015-cars-bangalore-10257301717/
2013 Tata Manza,43.40k km,Diesel,Manual,2nd,1248cc,₹2.75 lakh,https://www.cars24.com/buy-used-tata-manza-2013-cars-bangalore-10241402712/
2015 Maruti Swift,40.98k km,Petrol,Manual,2nd,1197cc,₹5.00 lakh,https://www.cars24.com/buy-used-maruti-swift-2015-cars-bangalore-10241345704/
2012 Maruti Swift,1.2L km,Diesel,Manual,2nd,1248cc,₹3.50 lakh,https://www.cars24.com/buy-used-maruti-swift-2012-cars-bangalore-10222909793/
2012 Hyundai i10,91.02k km,Petrol,Manual,2nd,1086cc,₹1.56 lakh,https://www.cars24.com/buy-used-hyundai-i10-2012-cars-bangalore-10222248744/
2012 Maruti A Star,91.05k km,Petrol,,4th,,₹1.75 lakh,https://www.cars24.com/buy-used-maruti-a-star-2012-cars-bangalore-10280946702/
2019 Renault Kwid,38.00k km,Petrol,,2nd,999cc,₹3.50 lakh,https://www.cars24.com/buy-used-renault-kwid-2019-cars-bangalore-10277948706/
2020 Hyundai NEW I20,46.75k km,Petrol,,2nd,998cc,₹7.97 lakh,https://www.cars24.com/buy-used-hyundai-new-i20-2020-cars-bangalore-10274948767/
2019 Maruti New Wagon-R,22.95k km,Petrol,Manual,1st,1197cc,₹4.82 lakh,https://www.cars24.com/buy-used-maruti-new-wagon-r-2019-cars-bangalore-10230506710/
2012 Ford Figo,1.1L km,Diesel,Manual,2nd,1399cc,₹1.69 lakh,https://www.cars24.com/buy-used-ford-figo-2012-cars-bangalore-10284242748/
2014 Maruti Celerio,80.00k km,Petrol,Manual,1st,998cc,₹2.63 lakh,https://www.cars24.com/buy-used-maruti-celerio-2014-cars-bangalore-10279605793/
2014 Honda City,1.3L km,Petrol,Manual,1st,1497cc,₹5.91 lakh,https://www.cars24.com/buy-used-honda-city-2014-cars-bangalore-10265744760/
2018 Maruti Swift,1.1L km,Petrol,,2nd,1197cc,₹4.48 lakh,https://www.cars24.com/buy-used-maruti-swift-2018-cars-bangalore-10205202796/
2014 Volkswagen Vento,1.1L km,Diesel,,4th,1498cc,₹3.60 lakh,https://www.cars24.com/buy-used-volkswagen-vento-2014-cars-bangalore-10272841706/
2017 Renault Kwid,22.41k km,Petrol,,2nd,999cc,₹3.60 lakh,https://www.cars24.com/buy-used-renault-kwid-2017-cars-bangalore-10253141741/
2017 Maruti Alto 800,20.08k km,Petrol,Manual,1st,796cc,₹3.68 lakh,https://www.cars24.com/buy-used-maruti-alto-800-2017-cars-bangalore-10210205712/
2010 Maruti Swift,74.91k km,Diesel,Manual,2nd,1248cc,₹2.85 lakh,https://www.cars24.com/buy-used-maruti-swift-2010-cars-bangalore-10278302716/
2013 Ford Figo,34.39k km,Petrol,Manual,1st,1196cc,₹2.74 lakh,https://www.cars24.com/buy-used-ford-figo-2013-cars-bangalore-10264447748/
2010 Hyundai i20,1.3L km,Petrol,Manual,1st,1197cc,₹1.48 lakh,https://www.cars24.com/buy-used-hyundai-i20-2010-cars-bangalore-10253305795/
2017 Volkswagen Ameo,53.00k km,Petrol,Manual,1st,1198cc,₹5.03 lakh,https://www.cars24.com/buy-used-volkswagen-ameo-2017-cars-bangalore-10209708712/
2012 Nissan Sunny,1.5L km,Diesel,Manual,2nd,1461cc,₹3.19 lakh,https://www.cars24.com/buy-used-nissan-sunny-2012-cars-bangalore-10296340703/
2013 Ford Figo,1.2L km,Diesel,Manual,2nd,1399cc,₹2.30 lakh,https://www.cars24.com/buy-used-ford-figo-2013-cars-bangalore-10277906776/
2011 Maruti Swift Dzire,70.69k km,Petrol,Manual,1st,1197cc,₹2.80 lakh,https://www.cars24.com/buy-used-maruti-swift-dzire-2011-cars-bangalore-10272841764/
2012 Maruti Swift,1.1L km,Diesel,Manual,2nd,1248cc,₹4.04 lakh,https://www.cars24.com/buy-used-maruti-swift-2012-cars-bangalore-10252606791/
2014 Honda Brio,71.61k km,Petrol,Manual,3rd,1198cc,₹3.31 lakh,https://www.cars24.com/buy-used-honda-brio-2014-cars-bangalore-10233707719/
2016 Tata Indigo ECS,1.3L km,Diesel,Manual,2nd,1396cc,₹2.02 lakh,https://www.cars24.com/buy-used-tata-indigo-ecs-2016-cars-bangalore-10205109797/
2013 Nissan Micra,80.22k km,Petrol,Manual,2nd,,₹2.20 lakh,https://www.cars24.com/buy-used-nissan-micra-2013-cars-bangalore-10297401776/
2012 Ford Figo,71.02k km,Diesel,Manual,2nd,,₹1.69 lakh,https://www.cars24.com/buy-used-ford-figo-2012-cars-bangalore-10271005795/
2017 Hyundai Tucson,68.23k km,Diesel,,2nd,1995cc,₹12.70 lakh,https://www.cars24.com/buy-used-hyundai-tucson-2017-cars-bangalore-10261706774/
2014 Honda Brio,45.02k km,Petrol,Manual,2nd,1198cc,₹3.20 lakh,https://www.cars24.com/buy-used-honda-brio-2014-cars-bangalore-10227941760/
2014 Fiat Grand Punto,36.70k km,Petrol,Manual,1st,1172cc,₹1.42 lakh,https://www.cars24.com/buy-used-fiat-grand-punto-2014-cars-bangalore-10200840749/
2017 Renault Kwid,36.92k km,Petrol,,3rd,999cc,₹3.19 lakh,https://www.cars24.com/buy-used-renault-kwid-2017-cars-bangalore-10296543708/
2022 KIA CARENS,20.29k km,Diesel,Manual,1st,1493cc,₹15.74 lakh,https://www.cars24.com/buy-used-kia-carens-2022-cars-bangalore-10295008711/
2015 Mitsubishi Pajero Sport,1.2L km,Diesel,,1st,2477cc,₹10.37 lakh,https://www.cars24.com/buy-used-mitsubishi-pajero-sport-2015-cars-bangalore-10281040745/
2014 Hyundai Eon,54.21k km,Petrol,Manual,1st,814cc,₹2.40 lakh,https://www.cars24.com/buy-used-hyundai-eon-2014-cars-bangalore-10261100772/
2011 Hyundai i10,79.24k km,Petrol,Manual,2nd,1197cc,₹2.27 lakh,https://www.cars24.com/buy-used-hyundai-i10-2011-cars-bangalore-10211743734/
2013 Hyundai i20,1.4L km,Petrol,Manual,1st,1197cc,₹3.97 lakh,https://www.cars24.com/buy-used-hyundai-i20-2013-cars-bangalore-10202004794/
2022 Tata TIGOR,55.00k km,Petrol,Manual,1st,1199cc,₹5.90 lakh,https://www.cars24.com/buy-used-tata-tigor-2022-cars-bangalore-10297448765/
2012 Hyundai i10,58.76k km,Petrol,Manual,4th,1197cc,₹2.33 lakh,https://www.cars24.com/buy-used-hyundai-i10-2012-cars-bangalore-10282544744/
2019 Honda WR-V,19.91k km,Petrol,Manual,1st,1199cc,₹7.44 lakh,https://www.cars24.com/buy-used-honda-wr-v-2019-cars-bangalore-10248701777/
2017 Renault Kwid,31.36k km,Petrol,Manual,2nd,999cc,₹3.00 lakh,https://www.cars24.com/buy-used-renault-kwid-2017-cars-bangalore-10245548760/
2011 Chevrolet Beat,63.05k km,Petrol,Manual,4th,1199cc,₹1.42 lakh,https://www.cars24.com/buy-used-chevrolet-beat-2011-cars-bangalore-10223240766/
2011 Maruti Swift,89.58k km,Diesel,Manual,3rd,1248cc,₹2.81 lakh,https://www.cars24.com/buy-used-maruti-swift-2011-cars-bangalore-10211905711/
2016 Maruti Swift,1.2L km,Diesel,Manual,3rd,1248cc,₹3.35 lakh,https://www.cars24.com/buy-used-maruti-swift-2016-cars-bangalore-10204448769/
2011 Hyundai i10,48.26k km,Petrol,Manual,1st,1197cc,₹2.60 lakh,https://www.cars24.com/buy-used-hyundai-i10-2011-cars-bangalore-10265009711/
2024 MG ASTOR,10.13k km,Petrol,Manual,1st,1498cc,₹9.95 lakh,https://www.cars24.com/buy-used-mg-astor-2024-cars-bangalore-10297102772/
2023 Honda ELEVATE,14.18k km,Petrol,Manual,1st,1498cc,₹13.64 lakh,https://www.cars24.com/buy-used-honda-elevate-2023-cars-bangalore-10275146745/
2014 Maruti Celerio,31.50k km,Petrol,,3rd,998cc,₹3.00 lakh,https://www.cars24.com/buy-used-maruti-celerio-2014-cars-bangalore-10254240709/
2012 Maruti Swift Dzire,79.59k km,Diesel,Manual,1st,1248cc,₹4.05 lakh,https://www.cars24.com/buy-used-maruti-swift-dzire-2012-cars-bangalore-10251747708/
2021 Tata NEXON,43.81k km,Diesel,,1st,1497cc,₹12.00 lakh,https://www.cars24.com/buy-used-tata-nexon-2021-cars-bangalore-10245704714/
2015 Maruti Swift,38.06k km,Petrol,Manual,2nd,1197cc,₹4.10 lakh,https://www.cars24.com/buy-used-maruti-swift-2015-cars-bangalore-10217305796/
2022 KIA CARENS,17.81k km,Petrol,Manual,1st,1353cc,₹13.50 lakh,https://www.cars24.com/buy-used-kia-carens-2022-cars-bangalore-10244303710/
2019 Honda Amaze,22.75k km,Petrol,Manual,2nd,1199cc,₹6.58 lakh,https://www.cars24.com/buy-used-honda-amaze-2019-cars-bangalore-10238400715/
2011 Hyundai i10,81.14k km,Petrol,Manual,3rd,1197cc,₹2.34 lakh,https://www.cars24.com/buy-used-hyundai-i10-2011-cars-bangalore-10224303778/
2016 Volkswagen Ameo,38.93k km,Petrol,Manual,1st,1198cc,₹4.30 lakh,https://www.cars24.com/buy-used-volkswagen-ameo-2016-cars-bangalore-10217000776/
2018 Datsun Redi Go,23.38k km,Petrol,,3rd,999cc,₹2.63 lakh,https://www.cars24.com/buy-used-datsun-redi-go-2018-cars-bangalore-10200545765/
2015 Volkswagen Vento,2.2L km,Diesel,,2nd,1498cc,₹3.50 lakh,https://www.cars24.com/buy-used-volkswagen-vento-2015-cars-bangalore-10228045768/
2011 Ford Figo,65.30k km,Diesel,Manual,1st,1399cc,₹1.40 lakh,https://www.cars24.com/buy-used-ford-figo-2011-cars-bangalore-10227046760/
2019 Hyundai Creta,46.90k km,Petrol,,1st,1591cc,₹11.50 lakh,https://www.cars24.com/buy-used-hyundai-creta-2019-cars-bangalore-10208608718/
2018 Hyundai Creta,29.83k km,Petrol,Manual,2nd,1591cc,₹9.50 lakh,https://www.cars24.com/buy-used-hyundai-creta-2018-cars-bangalore-10296304713/
2010 Hyundai i20,1.1L km,Diesel,Manual,3rd,,₹2.50 lakh,https://www.cars24.com/buy-used-hyundai-i20-2010-cars-bangalore-10253549705/
2013 Honda Amaze,71.81k km,Petrol,Manual,2nd,1198cc,₹3.66 lakh,https://www.cars24.com/buy-used-honda-amaze-2013-cars-bangalore-10248309799/
2020 Hyundai Tucson,2.0L km,Diesel,,1st,1995cc,₹13.00 lakh,https://www.cars24.com/buy-used-hyundai-tucson-2020-cars-bangalore-10236407719/
2013 Fiat Grand Punto,74.29k km,Petrol,Manual,2nd,1172cc,₹2.10 lakh,https://www.cars24.com/buy-used-fiat-grand-punto-2013-cars-bangalore-10235942742/
2011 Honda Brio,1.2L km,Petrol,Manual,6th,1198cc,₹1.60 lakh,https://www.cars24.com/buy-used-honda-brio-2011-cars-bangalore-10279549762/
2012 Hyundai i10,38.29k km,Petrol,,2nd,1197cc,₹3.25 lakh,https://www.cars24.com/buy-used-hyundai-i10-2012-cars-bangalore-10272845765/
2010 Hyundai i10,89.02k km,Petrol,,3rd,,₹2.24 lakh,https://www.cars24.com/buy-used-hyundai-i10-2010-cars-bangalore-10229406774/
2015 Mahindra E2O,51.14k km,Electric,,1st,,₹2.38 lakh,https://www.cars24.com/buy-used-mahindra-e2o-2015-cars-bangalore-10224803718/
2021 Honda City,58.99k km,Petrol,,1st,1498cc,₹9.50 lakh,https://www.cars24.com/buy-used-honda-city-2021-cars-bangalore-10219146767/
2012 Hyundai i10,34.35k km,Petrol,Manual,2nd,1197cc,₹2.06 lakh,https://www.cars24.com/buy-used-hyundai-i10-2012-cars-bangalore-10216540703/
2013 Ford Figo,1.2L km,Diesel,Manual,2nd,1399cc,₹1.89 lakh,https://www.cars24.com/buy-used-ford-figo-2013-cars-bangalore-10293009797/
2010 Mahindra Scorpio,1.5L km,Diesel,Manual,3rd,2179cc,₹2.85 lakh,https://www.cars24.com/buy-used-mahindra-scorpio-2010-cars-bangalore-10281008795/
2011 Hyundai i20,59.01k km,Petrol,Manual,2nd,1197cc,₹2.50 lakh,https://www.cars24.com/buy-used-hyundai-i20-2011-cars-bangalore-10264604773/
2010 Hyundai i10,74.15k km,Petrol,Manual,1st,1197cc,₹2.20 lakh,https://www.cars24.com/buy-used-hyundai-i10-2010-cars-bangalore-10259247769/
2016 Mahindra TUV300,87.46k km,Diesel,,1st,,₹4.77 lakh,https://www.cars24.com/buy-used-mahindra-tuv300-2016-cars-bangalore-10255008718/
2022 Tata NEXON,16.67k km,Petrol,Manual,1st,1199cc,₹9.16 lakh,https://www.cars24.com/buy-used-tata-nexon-2022-cars-bangalore-10230640725/
2017 Maruti Dzire,76.78k km,Petrol,,1st,1197cc,₹5.55 lakh,https://www.cars24.com/buy-used-maruti-dzire-2017-cars-bangalore-10209903713/
2017 Honda WR-V,51.63k km,Petrol,Manual,2nd,1199cc,₹5.54 lakh,https://www.cars24.com/buy-used-honda-wr-v-2017-cars-bangalore-10200942730/
2010 Tata Manza,73.05k km,Petrol,Manual,2nd,1368cc,₹1.78 lakh,https://www.cars24.com/buy-used-tata-manza-2010-cars-bangalore-10296504774/
2022 Tata NEXON,14.26k km,Petrol,,1st,1199cc,₹11.69 lakh,https://www.cars24.com/buy-used-tata-nexon-2022-cars-bangalore-10294806713/
2011 Chevrolet Beat,60.55k km,Petrol,Manual,2nd,1199cc,₹1.70 lakh,https://www.cars24.com/buy-used-chevrolet-beat-2011-cars-bangalore-10285504771/
2011 Ford Figo,47.36k km,Petrol,Manual,1st,1196cc,₹1.37 lakh,https://www.cars24.com/buy-used-ford-figo-2011-cars-bangalore-10281946700/
2016 Maruti Swift,1.1L km,Petrol,Manual,1st,1197cc,₹5.37 lakh,https://www.cars24.com/buy-used-maruti-swift-2016-cars-bangalore-10205009779/
2011 Hyundai i10,56.39k km,Petrol,Manual,4th,1197cc,₹2.26 lakh,https://www.cars24.com/buy-used-hyundai-i10-2011-cars-bangalore-10200604795/
2022 Hyundai Verna,39.07k km,Diesel,Manual,2nd,1493cc,₹10.24 lakh,https://www.cars24.com/buy-used-hyundai-verna-2022-cars-bangalore-10291240701/
2015 Ford Ecosport,1.8L km,Petrol,Manual,1st,1499cc,₹3.20 lakh,https://www.cars24.com/buy-used-ford-ecosport-2015-cars-bangalore-10256740767/
2012 Fiat Grand Punto,1.7L km,Diesel,Manual,2nd,1248cc,₹1.90 lakh,https://www.cars24.com/buy-used-fiat-grand-punto-2012-cars-bangalore-10244742737/
2017 Maruti Baleno,63.79k km,Petrol,Manual,1st,1197cc,₹5.25 lakh,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-bangalore-10218548705/
2021 Renault TRIBER,83.86k km,Petrol,Manual,1st,999cc,₹5.75 lakh,https://www.cars24.com/buy-used-renault-triber-2021-cars-bangalore-10226346740/
2011 Hyundai i20,81.66k km,Petrol,Manual,1st,1197cc,₹2.54 lakh,https://www.cars24.com/buy-used-hyundai-i20-2011-cars-bangalore-10281903797/
2012 Hyundai Eon,1.2L km,Petrol,Manual,2nd,814cc,₹1.74 lakh,https://www.cars24.com/buy-used-hyundai-eon-2012-cars-bangalore-10276848739/
2017 Maruti Dzire,33.34k km,Petrol,Manual,1st,1197cc,₹6.50 lakh,https://www.cars24.com/buy-used-maruti-dzire-2017-cars-bangalore-10239202779/
2020 Renault TRIBER,82.42k km,Petrol,Manual,2nd,999cc,₹5.16 lakh,https://www.cars24.com/buy-used-renault-triber-2020-cars-bangalore-10227305712/
2014 Hyundai Grand i10,83.00k km,Diesel,Manual,3rd,1120cc,₹2.95 lakh,https://www.cars24.com/buy-used-hyundai-grand-i10-2014-cars-bangalore-10204540708/
2015 Mahindra E2O,25.00k km,Electric,,1st,,₹1.75 lakh,https://www.cars24.com/buy-used-mahindra-e2o-2015-cars-bangalore-10268549704/
2014 Hyundai i20,48.85k km,Petrol,Manual,3rd,1197cc,₹3.80 lakh,https://www.cars24.com/buy-used-hyundai-i20-2014-cars-bangalore-10238744745/
2019 Hyundai GRAND I10 NIOS,29.34k km,Petrol,,1st,1197cc,₹5.82 lakh,https://www.cars24.com/buy-used-hyundai-grand-i10-nios-2019-cars-bangalore-10220805797/
2013 Fiat Grand Punto,1.2L km,Diesel,Manual,1st,1248cc,₹2.23 lakh,https://www.cars24.com/buy-used-fiat-grand-punto-2013-cars-bangalore-10202348710/
2012 Ford Figo,98.64k km,Petrol,Manual,2nd,1196cc,₹1.66 lakh,https://www.cars24.com/buy-used-ford-figo-2012-cars-bangalore-10293303799/
2011 Maruti Swift Dzire,83.78k km,Diesel,Manual,2nd,1248cc,₹3.04 lakh,https://www.cars24.com/buy-used-maruti-swift-dzire-2011-cars-bangalore-10277049706/
2019 Maruti Ciaz,42.86k km,Petrol,Manual,3rd,1462cc,₹7.18 lakh,https://www.cars24.com/buy-used-maruti-ciaz-2019-cars-bangalore-10272702770/
2013 Mahindra E2O,73.34k km,Electric,,2nd,,₹1.46 lakh,https://www.cars24.com/buy-used-mahindra-e2o-2013-cars-bangalore-10261246743/
2019 Volkswagen Polo,1.1L km,Petrol,Manual,2nd,999cc,₹4.25 lakh,https://www.cars24.com/buy-used-volkswagen-polo-2019-cars-bangalore-10202841722/
2017 Maruti Wagon R 1.0,52.59k km,Petrol,Manual,1st,998cc,₹4.50 lakh,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2017-cars-bangalore-10285607710/
2011 Ford Fiesta,1.0L km,Diesel,Manual,1st,,₹1.60 lakh,https://www.cars24.com/buy-used-ford-fiesta-2011-cars-bangalore-10241949764/
2010 Maruti SX4,58.85k km,Petrol,,3rd,1586cc,₹2.00 lakh,https://www.cars24.com/buy-used-maruti-sx4-2010-cars-bangalore-10228105794/
2014 Honda City,66.60k km,Diesel,Manual,1st,1498cc,₹3.10 lakh,https://www.cars24.com/buy-used-honda-city-2014-cars-bangalore-10217347737/
2017 Datsun Redi Go,67.23k km,Petrol,Manual,1st,799cc,₹2.15 lakh,https://www.cars24.com/buy-used-datsun-redi-go-2017-cars-bangalore-10216448738/
2018 Maruti Celerio X,64.08k km,Petrol,Manual,2nd,998cc,₹3.15 lakh,https://www.cars24.com/buy-used-maruti-celerio-x-2018-cars-bangalore-10203847704/
2014 Hyundai i20,75.60k km,Diesel,Manual,2nd,1396cc,₹4.21 lakh,https://www.cars24.com/buy-used-hyundai-i20-2014-cars-bangalore-10203646740/
2018 Maruti IGNIS,74.62k km,Petrol,,1st,1197cc,₹5.40 lakh,https://www.cars24.com/buy-used-maruti-ignis-2018-cars-bangalore-10296307775/
2014 Mahindra E2O,66.50k km,Electric,,2nd,,₹1.46 lakh,https://www.cars24.com/buy-used-mahindra-e2o-2014-cars-bangalore-10285146740/
2011 Honda City,92.57k km,Petrol,Manual,1st,,₹2.75 lakh,https://www.cars24.com/buy-used-honda-city-2011-cars-bangalore-10281005798/
2020 Hyundai AURA,16.49k km,Petrol,,1st,1197cc,₹6.78 lakh,https://www.cars24.com/buy-used-hyundai-aura-2020-cars-bangalore-10266048709/
2022 Tata NEXON,23.90k km,Petrol,,1st,1199cc,₹10.90 lakh,https://www.cars24.com/buy-used-tata-nexon-2022-cars-bangalore-10219542732/
2016 Maruti Baleno,82.59k km,Diesel,Manual,2nd,1248cc,₹5.43 lakh,https://www.cars24.com/buy-used-maruti-baleno-2016-cars-bangalore-10284544700/
2014 Hyundai Xcent,83.45k km,Petrol,Manual,4th,1197cc,₹2.90 lakh,https://www.cars24.com/buy-used-hyundai-xcent-2014-cars-bangalore-10254604794/
2014 Maruti Ritz,88.80k km,Petrol,Manual,3rd,1197cc,₹2.70 lakh,https://www.cars24.com/buy-used-maruti-ritz-2014-cars-bangalore-10209941739/
2015 Volkswagen Polo,1.2L km,Petrol,Manual,1st,1198cc,₹3.97 lakh,https://www.cars24.com/buy-used-volkswagen-polo-2015-cars-bangalore-10292204794/
2016 Mahindra Kuv100,94.83k km,Diesel,Manual,2nd,1198cc,₹3.50 lakh,https://www.cars24.com/buy-used-mahindra-kuv100-2016-cars-bangalore-10267444761/
2010 Hyundai i10,34.05k km,Petrol,Manual,2nd,1197cc,₹2.09 lakh,https://www.cars24.com/buy-used-hyundai-i10-2010-cars-bangalore-10257306773/
2011 Chevrolet Beat,1.1L km,Petrol,Manual,1st,1199cc,₹1.10 lakh,https://www.cars24.com/buy-used-chevrolet-beat-2011-cars-bangalore-10256140769/
2010 Tata Nano,17.99k km,Petrol,Manual,2nd,627cc,₹1.00 lakh,https://www.cars24.com/buy-used-tata-nano-2010-cars-bangalore-10233104778/
2019 Hyundai Grand i10,44.69k km,Petrol,Manual,1st,1197cc,₹5.60 lakh,https://www.cars24.com/buy-used-hyundai-grand-i10-2019-cars-bangalore-10287600718/
2011 Maruti Alto,1.0L km,Petrol,Manual,1st,796cc,₹1.59 lakh,https://www.cars24.com/buy-used-maruti-alto-2011-cars-bangalore-10279806710/
2015 Hyundai Eon,42.62k km,Petrol,Manual,2nd,814cc,₹3.00 lakh,https://www.cars24.com/buy-used-hyundai-eon-2015-cars-bangalore-10277407772/
2016 Hyundai Grand i10,52.93k km,Petrol,Manual,1st,1197cc,₹3.91 lakh,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-bangalore-10201302717/
2020 Hyundai NEW SANTRO,16.63k km,Petrol,,2nd,1086cc,₹4.93 lakh,https://www.cars24.com/buy-used-hyundai-new-santro-2020-cars-bangalore-10257846764/
